<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S&P 500,D,20130523,000000,1655.3,1655.5,1635.59,1650.7,0,0
S&P 500,D,20130524,000000,1650.73,1650.73,1636.88,1649.58,0,0
S&P 500,D,20130525,000000,1649.65,1649.66,1649.6,1649.6,0,0
S&P 500,D,20130526,000000,1649.6,1649.6,1649.6,1649.6,0,0
S&P 500,D,20130527,000000,1649.6,1649.6,1649.6,1649.6,0,0
S&P 500,D,20130528,000000,1652.63,1674.21,1652.63,1660.5,0,0
S&P 500,D,20130529,000000,1660.18,1660.18,1640.05,1648.63,0,0
S&P 500,D,20130530,000000,1648.56,1661.91,1648.36,1654.71,0,0
S&P 500,D,20130531,000000,1654.55,1658.99,1632.35,1632.35,0,0
S&P 500,D,20130601,000000,1631.03,1631.03,1630.74,1630.74,0,0
S&P 500,D,20130602,000000,1630.74,1630.74,1630.74,1630.74,0,0
S&P 500,D,20130603,000000,1631.71,1640.32,1622.72,1640.32,0,0
S&P 500,D,20130604,000000,1640.18,1646.53,1623.62,1631.44,0,0
S&P 500,D,20130605,000000,1631.25,1631.38,1607.09,1608.83,0,0
S&P 500,D,20130606,000000,1608.9,1622.24,1598.23,1622.24,0,0
S&P 500,D,20130607,000000,1622.38,1644.4,1622.38,1643.09,0,0
S&P 500,D,20130608,000000,1643.27,1643.38,1643.27,1643.38,0,0
S&P 500,D,20130609,000000,1643.38,1643.38,1643.38,1643.38,0,0
S&P 500,D,20130610,000000,1644.67,1648.69,1639.26,1642.23,0,0
S&P 500,D,20130611,000000,1642.71,1642.81,1623.06,1625.98,0,0
S&P 500,D,20130612,000000,1626.25,1637.71,1610.94,1612.58,0,0
S&P 500,D,20130613,000000,1612.49,1639.25,1608.07,1636.36,0,0
S&P 500,D,20130614,000000,1636.51,1640.77,1623.96,1626.81,0,0
S&P 500,D,20130615,000000,1626.56,1626.73,1626.56,1626.73,0,0
S&P 500,D,20130616,000000,1626.73,1626.73,1626.73,1626.73,0,0
S&P 500,D,20130617,000000,1631.49,1646.5,1630.38,1638.9,0,0
S&P 500,D,20130618,000000,1639.13,1654.19,1639.04,1651.5,0,0
S&P 500,D,20130619,000000,1651.8,1652.45,1629.74,1629.84,0,0
S&P 500,D,20130620,000000,1628.95,1628.95,1584.46,1588.87,0,0
S&P 500,D,20130621,000000,1588.4,1599.18,1577.7,1592.27,0,0
S&P 500,D,20130622,000000,1592.83,1592.83,1592.41,1592.43,0,0
S&P 500,D,20130623,000000,1592.43,1592.43,1592.43,1592.43,0,0
S&P 500,D,20130624,000000,1578.7,1586.45,1560.33,1573.44,0,0
S&P 500,D,20130625,000000,1573.11,1593.79,1573.09,1588.9,0,0
S&P 500,D,20130626,000000,1588.04,1606.83,1588.03,1603.62,0,0
S&P 500,D,20130627,000000,1603.31,1620.07,1603.26,1613.37,0,0
S&P 500,D,20130628,000000,1613.08,1615.94,1601.06,1607.01,0,0
S&P 500,D,20130629,000000,1605.68,1606.28,1605.68,1606.28,0,0
S&P 500,D,20130630,000000,1606.28,1606.28,1606.28,1606.28,0,0
S&P 500,D,20130701,000000,1609.78,1626.56,1609.78,1614.79,0,0
S&P 500,D,20130702,000000,1614.85,1624.26,1606.77,1614.6,0,0
S&P 500,D,20130703,000000,1613.85,1618.97,1604.57,1615.41,0,0
S&P 500,D,20130704,000000,1615.41,1615.41,1615.41,1615.41,0,0
S&P 500,D,20130705,000000,1618.65,1632.07,1614.71,1632.07,0,0
S&P 500,D,20130706,000000,1631.87,1631.91,1631.87,1631.89,0,0
S&P 500,D,20130707,000000,1631.89,1631.89,1631.89,1631.89,0,0
S&P 500,D,20130708,000000,1634.2,1644.65,1634.2,1640.24,0,0
S&P 500,D,20130709,000000,1640.44,1654.17,1640.44,1652.48,0,0
S&P 500,D,20130710,000000,1652.36,1657.72,1647.66,1652.43,0,0
S&P 500,D,20130711,000000,1652.27,1676.63,1652.27,1675.3,0,0
S&P 500,D,20130712,000000,1675.16,1679.74,1672.34,1679.69,0,0
S&P 500,D,20130713,000000,1679.56,1680.19,1679.56,1680.19,0,0
S&P 500,D,20130714,000000,1680.19,1680.19,1680.19,1680.19,0,0
S&P 500,D,20130715,000000,1679.85,1684.49,1677.89,1682.48,0,0
S&P 500,D,20130716,000000,1682.61,1683.73,1671.84,1676.45,0,0
S&P 500,D,20130717,000000,1676.29,1684.73,1676.24,1680.58,0,0
S&P 500,D,20130718,000000,1680.83,1693.12,1680.76,1689.21,0,0
S&P 500,D,20130719,000000,1689.19,1691.94,1684.08,1691.8,0,0
S&P 500,D,20130720,000000,1692.05,1692.09,1692.05,1692.09,0,0
S&P 500,D,20130721,000000,1692.09,1692.09,1692.09,1692.09,0,0
S&P 500,D,20130722,000000,1694.41,1697.59,1690.67,1695.31,0,0
S&P 500,D,20130723,000000,1695.36,1698.78,1691.13,1692.53,0,0
S&P 500,D,20130724,000000,1692.57,1698.38,1682.58,1686.18,0,0
S&P 500,D,20130725,000000,1685.94,1690.94,1680.07,1690.07,0,0
S&P 500,D,20130726,000000,1690.32,1691.85,1676.03,1691.85,0,0
S&P 500,D,20130727,000000,1691.63,1691.65,1691.6,1691.65,0,0
S&P 500,D,20130728,000000,1691.65,1691.65,1691.65,1691.65,0,0
S&P 500,D,20130729,000000,1689.22,1690.92,1681.87,1685.37,0,0
S&P 500,D,20130730,000000,1685.47,1693.19,1682.44,1686.4,0,0
S&P 500,D,20130731,000000,1686.3,1698.43,1684.94,1686.98,0,0
S&P 500,D,20130801,000000,1686.27,1707.85,1685.72,1706.47,0,0
